ENHG Lemma,MHG Candidates,Link
laden,laden,https://www.dwds.de/wb/etymwb/laden
treiben,trîben,https://www.dwds.de/wb/etymwb/treiben
weisen,wîsen,https://www.dwds.de/wb/etymwb/weisen
messen,mëzzen,https://www.dwds.de/wb/etymwb/messen
pfeifen,pfîfen,https://www.dwds.de/wb/etymwb/pfeifen
reichen,rîchen,https://www.dwds.de/wb/etymwb/reichen
bitten,bitten,https://www.dwds.de/wb/etymwb/bitten
quellen,quëlen; quëllen,https://www.dwds.de/wb/etymwb/quellen
bellen,bëllen,https://www.dwds.de/wb/etymwb/bellen
fangen,vâhen,https://www.dwds.de/wb/etymwb/fangen
reiten,rîten,https://www.dwds.de/wb/etymwb/reiten
schrecken,schrëcken,https://www.dwds.de/wb/etymwb/schrecken
zehren,zëren,https://www.dwds.de/wb/etymwb/zehren
schwingen,swingen,https://www.dwds.de/wb/etymwb/schwingen
trecken,trëchen,https://www.dwds.de/wb/etymwb/trecken
bergen,bërgen,https://www.dwds.de/wb/etymwb/bergen
gewinnen,winnen,https://www.dwds.de/wb/etymwb/gewinnen
brennen,brinnen,https://www.dwds.de/wb/etymwb/brennen
sieden,sièden,https://www.dwds.de/wb/etymwb/sieden
werben,wërben,https://www.dwds.de/wb/etymwb/werben
steigen,stîgen,https://www.dwds.de/wb/etymwb/steigen
trügen,triègen,https://www.dwds.de/wb/etymwb/trügen
zwingen,twingen; dwingen,https://www.dwds.de/wb/etymwb/zwingen
