seq_id,lemma_id,principal_part,n_obs
572,21,4,71
573,22,1,80
574,22,2,57
575,22,3,50
576,22,4,52
577,23,1,51
578,23,2,14
579,23,3,18
580,23,4,29
581,24,1,66
582,24,2,41
583,24,3,26
584,24,4,46
585,25,1,46
586,25,2,31
587,25,3,15
588,25,4,28
589,26,1,48
590,26,2,26
591,26,3,12
592,26,4,49
593,27,1,74
594,27,2,68
595,27,3,54
596,27,4,51
597,28,1,11
598,28,4,3
599,29,1,55
600,29,2,42
601,29,3,27
602,29,4,29
603,30,1,20
604,30,2,19
605,30,3,9
606,30,4,8
607,31,1,70
608,31,2,46
609,31,3,34
610,31,4,42
611,32,1,25
612,32,2,25
613,32,3,8
614,32,4,18
615,33,1,15
616,33,4,16
617,34,1,9
618,34,4,10
619,35,1,20
620,36,1,5
621,36,4,5
622,37,1,76
623,37,2,59
624,37,3,48
625,37,4,58
626,38,1,18
627,38,4,14
628,39,1,36
629,39,2,45
630,39,3,30
631,39,4,5
632,40,1,21
633,40,2,14
634,40,3,6
635,40,4,23
636,41,1,8
637,42,1,7
638,42,4,3
639,43,1,10
640,43,4,6
641,44,1,5
642,45,1,81
643,45,2,69
644,45,3,51
645,45,4,72
646,46,1,50
647,46,2,32
648,46,3,28
649,46,4,25
650,47,1,15
651,47,2,11
652,47,3,4
653,47,4,23
654,48,1,36
655,48,2,21
656,48,3,12
657,48,4,7
658,49,1,7
659,49,4,8
660,50,1,33
661,50,2,21
662,50,3,7
663,50,4,13
664,51,1,6
665,52,1,37
666,52,2,24
667,52,3,11
668,52,4,36
669,53,1,17
670,53,2,10
671,53,3,2
672,53,4,2
673,54,1,65
674,54,2,49
675,54,3,41
676,54,4,49
677,55,1,13
678,55,4,12
679,56,1,30
680,56,2,15
681,56,3,10
682,56,4,16
683,57,1,20
684,57,2,17
685,57,4,7
686,58,1,25
687,58,2,10
688,58,3,5
689,58,4,35
690,59,1,44
691,59,2,22
692,59,3,9
693,59,4,18
694,60,1,14
695,60,2,12
696,60,4,12
697,61,1,27
698,61,2,22
699,61,3,10
700,61,4,10
701,62,1,13
702,62,2,5
703,62,3,7
704,63,1,28
705,63,2,10
706,63,3,8
707,63,4,4
708,64,1,4
709,64,4,6
710,66,1,37
711,66,2,17
712,66,3,7
713,66,4,8
714,67,1,73
715,67,2,52
716,67,3,38
717,67,4,56
718,68,1,16
719,68,2,2
720,68,4,16
721,69,1,18
722,69,4,4
723,70,2,2
724,71,1,6
725,72,1,2
726,73,1,6
727,73,2,10
728,73,3,5
729,73,4,20
730,74,1,3
731,74,2,2
732,74,4,3
733,75,1,44
734,75,2,26
735,75,3,21
736,75,4,11
737,76,1,47
738,76,2,22
739,76,3,15
740,76,4,18
741,77,1,14
742,77,3,3
743,77,4,17
744,78,1,20
745,78,2,12
746,78,3,7
747,78,4,8
748,79,1,3
749,79,4,4
750,80,1,24
751,80,2,27
752,80,3,9
753,80,4,5
754,81,1,73
755,81,2,37
756,81,3,39
757,81,4,34
758,82,1,54
759,82,2,38
760,82,3,21
761,82,4,17
762,83,1,22
763,83,2,2
764,83,3,2
765,83,4,17
766,84,1,8
767,84,2,6
768,84,3,3
769,85,1,58
770,85,2,29
771,85,3,23
772,85,4,38
773,86,1,15
774,86,2,6
775,86,3,4
776,86,4,6
777,87,1,46
778,87,2,42
779,87,3,12
780,87,4,9
781,88,1,7
782,88,2,20
783,88,3,2
784,88,4,2
785,89,1,40
786,89,2,18
787,89,3,12
788,89,4,14
789,90,1,42
790,90,2,21
791,90,3,14
792,90,4,22
793,91,1,17
794,91,2,15
795,91,3,4
796,91,4,10
797,92,1,53
798,92,2,29
799,92,3,27
800,92,4,13
801,93,1,31
802,93,2,7
803,93,3,8
804,93,4,4
805,94,1,9
806,95,1,24
807,95,4,17
808,96,1,12
809,96,2,7
810,96,3,3
811,96,4,27
812,97,1,7
813,97,2,2
814,97,4,5
815,98,4,23
816,99,1,15
817,99,2,6
818,99,3,2
819,99,4,7
820,101,1,19
821,101,2,13
822,101,3,11
823,101,4,18
824,102,1,44
825,102,2,27
826,102,3,11
827,102,4,14
828,103,1,65
829,103,2,55
830,103,3,23
831,103,4,34
832,104,1,65
833,104,2,53
834,104,3,27
835,104,4,41
836,105,1,9
837,105,4,6
838,106,1,13
839,106,2,16
840,106,3,6
841,106,4,15
842,107,1,23
843,107,2,13
844,107,3,3
845,108,1,3
846,109,1,10
847,109,2,5
848,109,3,5
849,109,4,14
850,110,1,8
851,110,4,3
852,111,1,4
853,111,2,3
854,111,3,2
855,112,1,6
856,112,4,3
857,113,1,17
858,113,2,19
859,113,3,16
860,113,4,19
861,114,1,20
862,114,4,12
863,115,1,11
864,115,4,9
865,116,1,9
866,117,1,6
867,117,2,2
868,118,1,3
869,118,2,2
870,118,3,2
871,120,1,9
872,120,4,11
873,121,1,18
874,121,2,2
875,121,4,14
876,122,1,33
877,122,2,15
878,122,3,4
879,122,4,22
880,123,1,54
881,123,2,19
882,123,3,6
883,123,4,37
884,124,1,32
885,124,4,34
886,125,1,14
887,126,1,32
888,126,2,9
889,126,3,8
890,126,4,13
891,127,1,2
892,127,4,6
893,128,1,14
894,130,1,14
895,130,4,28
896,131,1,46
897,131,2,36
898,131,3,15
899,131,4,10
900,132,1,2
901,133,1,4
902,134,1,4
903,134,4,3
904,135,1,33
905,135,2,40
906,135,3,32
907,135,4,24
908,136,4,4
909,137,1,5
910,137,2,2
911,137,4,3
912,138,1,21
913,138,2,20
914,138,3,7
915,138,4,10
916,139,1,36
917,139,2,13
918,139,3,12
919,139,4,15
920,140,1,27
921,140,4,24
922,141,1,5
923,142,1,55
924,142,2,38
925,142,3,19
926,142,4,45
927,143,1,18
928,143,2,7
929,143,3,3
930,143,4,3
931,144,1,11
932,144,4,16
933,145,1,10
934,145,2,8
935,145,3,2
936,146,1,22
937,146,2,20
938,146,3,8
939,146,4,2
940,147,1,2
941,147,2,4
942,148,1,25
943,148,2,12
944,148,3,3
945,148,4,11
946,149,1,8
947,149,2,5
948,149,3,3
949,150,1,10
950,150,2,8
951,150,3,3
952,150,4,7
953,151,1,4
954,151,4,4
955,152,1,13
956,152,2,4
957,152,3,3
958,152,4,24
959,153,1,20
960,153,3,2
961,153,4,30
962,154,1,6
963,154,4,6
964,155,1,43
965,155,2,24
966,155,3,17
967,155,4,14
968,156,1,7
969,156,2,4
970,156,3,2
971,156,4,3
972,157,1,3
973,158,1,2
974,159,1,14
975,159,2,9
976,159,3,2
977,159,4,12
978,160,1,19
979,160,2,21
980,160,3,3
981,160,4,6
982,161,1,14
983,161,2,2
984,162,1,12
985,162,4,5
986,163,1,13
987,163,2,17
988,163,3,6
989,163,4,9
990,164,1,2
991,165,1,22
992,165,4,13
993,166,1,2
994,166,2,2
995,167,1,2
996,167,4,3
997,168,1,16
998,168,2,4
999,168,4,6
1000,169,1,38
1001,169,2,28
1002,169,3,13
1003,169,4,23
1004,170,1,39
1005,170,2,33
1006,170,3,22
1007,170,4,66
1008,171,4,5
1009,172,1,9
1010,172,4,18
1011,173,1,15
1012,174,1,17
1013,174,2,11
1014,174,3,4
1015,174,4,10
1016,175,1,3
1017,175,3,8
1018,175,4,3
1019,176,1,44
1020,176,2,19
1021,176,3,19
1022,176,4,14
1023,177,1,9
1024,177,4,3
1025,178,1,6
1026,178,4,3
