seq_id,lemma_id,principal_part,n_obs
610,194,4,6
611,195,1,55
612,195,2,49
613,195,3,35
614,195,4,35
615,196,1,44
616,196,2,28
617,196,3,20
618,196,4,16
619,197,1,5
620,197,2,2
621,197,3,2
622,197,4,3
623,198,1,53
624,198,2,45
625,198,3,42
626,198,4,32
627,199,1,46
628,199,2,31
629,199,3,29
630,199,4,22
631,200,1,2
632,200,2,4
633,200,4,4
634,201,1,15
635,201,2,12
636,201,3,6
637,202,1,25
638,202,2,11
639,202,3,3
640,203,1,5
641,203,3,3
642,204,1,7
643,204,2,5
644,204,3,6
645,204,4,3
646,205,1,2
647,205,4,2
648,206,1,3
649,206,2,2
650,206,3,4
651,206,4,6
652,207,1,13
653,207,2,40
654,207,3,17
655,207,4,28
656,208,1,3
657,208,2,2
658,208,3,2
659,208,4,2
660,209,1,22
661,209,2,25
662,209,3,7
663,209,4,28
664,210,1,11
665,210,2,6
666,211,1,4
667,211,2,2
668,211,4,3
669,212,1,5
670,212,2,4
671,212,3,3
672,212,4,7
673,213,1,7
674,213,2,4
675,213,4,5
676,214,1,27
677,214,2,23
678,214,3,14
679,214,4,23
680,215,1,15
681,215,2,9
682,215,3,2
683,215,4,7
684,216,1,4
685,216,2,8
686,216,3,2
687,216,4,5
688,217,1,6
689,217,2,5
690,217,3,3
691,218,1,3
692,218,2,3
693,219,1,30
694,219,2,29
695,219,3,9
696,219,4,14
697,220,1,26
698,220,2,30
699,220,3,9
700,220,4,30
701,221,1,9
702,221,2,8
703,221,4,4
704,222,1,38
705,222,2,29
706,222,3,23
707,222,4,25
708,223,1,12
709,223,2,2
710,223,3,3
711,223,4,12
712,224,1,44
713,224,2,33
714,224,3,28
715,224,4,37
716,225,1,46
717,225,2,40
718,225,3,33
719,225,4,21
720,226,1,4
721,226,2,4
722,226,4,5
723,227,1,4
724,227,4,3
725,228,1,2
726,229,1,3
727,229,3,2
728,230,1,4
729,231,2,3
730,231,4,6
731,232,1,41
732,232,2,25
733,232,3,21
734,232,4,48
735,233,1,20
