"model_row_id","cell_id","document_id","lemma","lemma_std","std_infl","has_levelled","outcome_token_count","leveled_tokens","preserved_tokens","n_tokens","date","log_freq","log_freq_min","log_freq_max","n_log_freq_values","log_token_freq","has_alt_pres","log_alt_pres_freq","has_alt_past","log_alt_past_freq","marking_type","is_bipartite","element_type","variety","corpus"
"MHG:M223|22|PastSg|0","MHG:M223|22|PastSg","MHG:M223","sehen","22","PastSg",0,5,0,5,5,1185,-0.308776793168834,-0.308776793168834,-0.308776793168834,1,-1.55686693786706,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|24|PastSg|0","MHG:M223|24|PastSg","MHG:M223","halten","24","PastSg",0,2,0,2,2,1185,-0.912858138315834,-0.912858138315834,-0.912858138315834,1,-3.96323879168963,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|25|PastPl|0","MHG:M223|25|PastPl","MHG:M223","ligen","25","PastPl",0,1,0,1,1,1185,-0.170821315785344,-0.170821315785344,-0.170821315785344,1,-3.50026047683539,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|25|PastSg|0","MHG:M223|25|PastSg","MHG:M223","ligen","25","PastSg",0,2,0,2,2,1185,-0.170821315785344,-0.170821315785344,-0.170821315785344,1,-2.49049156017185,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|27|PastPl|0","MHG:M223|27|PastPl","MHG:M223","sprechen","27","PastPl",0,1,0,1,1,1185,-3.02488898620586,-3.02488898620586,-3.02488898620586,1,-2.30119904629653,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|27|PastSg|0","MHG:M223|27|PastSg","MHG:M223","sprechen","27","PastSg",0,7,0,7,7,1185,-0.533238012692142,-0.533238012692142,-0.533238012692142,1,-0.140614678045866,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|30|PastSg|0","MHG:M223|30|PastSg","MHG:M223","brechen","30","PastSg",0,1,0,1,1,1185,-1.35058980020592,-1.35058980020592,-1.35058980020592,1,-3.26663297586505,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|32|PastSg|0","MHG:M223|32|PastSg","MHG:M223","fallen","32","PastSg",0,2,0,2,2,1185,-1.43410450086116,-1.43410450086116,-1.43410450086116,1,-3.70651220968879,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|39|PastSg|0","MHG:M223|39|PastSg","MHG:M223","finden","39","PastSg",0,1,0,1,1,1185,-0.257738289781597,-0.257738289781597,-0.257738289781597,1,-2.69032329682431,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|49|PastPl|0","MHG:M223|49|PastPl","MHG:M223","nëmen","49","PastPl",0,1,0,1,1,1185,-4.13542073982134,-4.13542073982134,-4.13542073982134,1,-3.41439281191931,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|49|PastSg|0","MHG:M223|49|PastSg","MHG:M223","nëmen","49","PastSg",0,6,0,6,6,1185,-0.545484649548986,-0.545484649548986,-0.545484649548986,1,-1.21522545296322,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|50|PastPl|0","MHG:M223|50|PastPl","MHG:M223","raten","50","PastPl",0,2,0,2,2,1185,-1.41072278595309,-1.41072278595309,-1.41072278595309,1,-4.53173705706947,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|50|PastSg|0","MHG:M223|50|PastSg","MHG:M223","raten","50","PastSg",0,1,0,1,1,1185,-1.41072278595309,-1.41072278595309,-1.41072278595309,1,-4.4040191912735,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|59|PastPl|0","MHG:M223|59|PastPl","MHG:M223","sitzen","59","PastPl",0,1,0,1,1,1185,-0.777548328072841,-0.777548328072841,-0.777548328072841,1,-4.37723825786033,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|84|PastPl|0","MHG:M223|84|PastPl","MHG:M223","fliehen","84","PastPl",0,1,0,1,1,1185,-1.71482374214808,-1.71482374214808,-1.71482374214808,1,-5.32093294861194,"yes",2.70805020110221,"yes",2.30258509299405,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|91|PastPl|0","MHG:M223|91|PastPl","MHG:M223","heben","91","PastPl",0,2,0,2,2,1185,-1.36718749306964,-1.36718749306964,-1.36718749306964,1,-4.44560802925182,"yes",1.6094379124341,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|96|PastSg|0","MHG:M223|96|PastSg","MHG:M223","schînen","96","PastSg",0,1,0,1,1,1185,-1.88334441639052,-1.88334441639052,-1.88334441639052,1,-4.88897895824426,"yes",3.40119738166216,"yes",3.3322045101752,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|121|PastSg|0","MHG:M223|121|PastSg","MHG:M223","gewinn","121","PastSg",0,2,0,2,2,1185,-0.314505522151082,-0.314505522151082,-0.314505522151082,1,-1.96606084347282,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
