seq_id,lemma_id,principal_part,n_obs
1019,101,4,5
1020,102,4,23
1021,103,1,15
1022,103,2,6
1023,103,3,2
1024,103,4,7
1025,105,1,19
1026,105,2,13
1027,105,3,11
1028,105,4,18
1029,106,1,44
1030,106,2,27
1031,106,3,11
1032,106,4,14
1033,107,1,65
1034,107,2,55
1035,107,3,23
1036,107,4,34
1037,108,1,65
1038,108,2,53
1039,108,3,27
1040,108,4,41
1041,109,1,9
1042,109,4,6
1043,110,1,26
1044,110,2,16
1045,110,3,14
1046,111,1,13
1047,111,2,16
1048,111,3,6
1049,111,4,15
1050,112,1,23
1051,112,2,13
1052,112,3,3
1053,113,1,3
1054,114,1,10
1055,114,2,5
1056,114,3,5
1057,114,4,14
1058,115,1,8
1059,115,4,3
1060,116,1,4
1061,116,2,3
1062,116,3,2
1063,117,1,6
1064,117,4,3
1065,118,1,17
1066,118,2,19
1067,118,3,16
1068,118,4,19
1069,119,1,20
1070,119,4,12
1071,120,1,11
1072,120,4,9
1073,121,1,9
1074,122,1,6
1075,122,2,2
1076,123,1,3
1077,123,2,2
1078,123,3,2
1079,125,1,9
1080,125,4,11
1081,126,1,18
1082,126,2,2
1083,126,4,14
1084,127,1,33
1085,127,2,15
1086,127,3,4
1087,127,4,22
1088,128,1,54
1089,128,2,19
1090,128,3,6
1091,128,4,37
1092,129,1,32
1093,129,4,34
1094,130,1,14
1095,131,1,32
1096,131,2,9
1097,131,3,8
1098,131,4,13
1099,132,1,2
1100,132,4,6
1101,133,1,14
1102,135,1,14
1103,135,4,28
1104,136,1,46
1105,136,2,36
1106,136,3,15
1107,136,4,10
1108,137,1,3
1109,137,2,2
1110,137,3,2
1111,137,4,2
1112,138,1,2
1113,139,1,4
1114,140,1,4
1115,140,4,3
1116,141,1,33
1117,141,2,40
1118,141,3,32
1119,141,4,24
1120,142,4,4
1121,143,1,5
1122,143,2,2
1123,143,4,3
1124,144,1,21
1125,144,2,20
1126,144,3,7
1127,144,4,10
1128,145,1,36
1129,145,2,13
1130,145,3,12
1131,145,4,15
1132,146,1,27
1133,146,4,24
1134,147,1,5
1135,148,1,55
1136,148,2,38
1137,148,3,19
1138,148,4,45
1139,149,1,18
1140,149,2,7
1141,149,3,3
1142,149,4,3
1143,150,1,11
1144,150,4,16
1145,151,1,10
1146,151,2,8
1147,151,3,2
1148,152,1,22
1149,152,2,20
1150,152,3,8
1151,152,4,2
1152,153,1,2
1153,153,2,7
1154,154,1,2
1155,154,2,4
1156,155,1,25
1157,155,2,12
1158,155,3,3
1159,155,4,11
1160,156,1,8
1161,156,2,5
1162,156,3,3
1163,157,1,10
1164,157,2,8
1165,157,3,3
1166,157,4,7
1167,158,1,4
1168,158,2,5
1169,158,3,2
1170,159,1,4
1171,159,4,4
1172,160,1,13
1173,160,2,4
1174,160,3,3
1175,160,4,24
1176,161,1,20
1177,161,3,2
1178,161,4,30
1179,162,1,6
1180,162,4,6
1181,163,1,43
1182,163,2,24
1183,163,3,17
1184,163,4,14
1185,164,1,7
1186,164,2,4
1187,164,3,2
1188,164,4,3
1189,165,1,3
1190,166,1,2
1191,167,1,14
1192,167,2,9
1193,167,3,2
1194,167,4,12
1195,168,1,19
1196,168,2,21
1197,168,3,3
1198,168,4,6
1199,169,1,3
1200,169,2,2
1201,170,1,14
1202,170,2,2
1203,171,1,12
1204,171,4,5
1205,172,1,13
1206,172,2,17
1207,172,3,6
1208,172,4,9
1209,173,1,2
1210,174,1,22
1211,174,4,13
1212,175,1,12
1213,175,2,12
1214,175,3,4
1215,176,1,2
1216,176,2,2
1217,177,1,2
1218,177,4,3
1219,178,1,16
1220,178,2,4
1221,178,4,6
1222,179,1,38
1223,179,2,28
1224,179,3,13
1225,179,4,23
1226,180,1,39
1227,180,2,33
1228,180,3,22
1229,180,4,66
1230,181,4,5
1231,182,1,9
1232,182,4,18
1233,183,1,15
1234,184,1,17
1235,184,2,11
1236,184,3,4
1237,184,4,10
1238,185,1,2
1239,185,2,5
1240,185,3,2
1241,186,1,3
1242,186,3,8
1243,186,4,3
1244,187,1,44
1245,187,2,19
1246,187,3,19
1247,187,4,14
1248,188,1,9
1249,188,4,3
1250,189,1,6
1251,189,4,3
1252,190,1,4
1253,191,1,27
1254,191,2,19
1255,191,3,13
1256,191,4,32
1257,192,1,9
1258,192,2,7
1259,193,1,32
1260,193,2,11
1261,193,3,12
1262,194,1,3
1263,194,2,6
1264,194,3,3
1265,194,4,4
1266,195,1,46
1267,195,2,40
1268,195,3,27
1269,195,4,28
1270,196,1,32
1271,196,2,19
1272,196,3,14
1273,196,4,15
1274,197,1,2
1275,197,3,2
1276,197,4,2
1277,198,1,42
1278,198,2,32
1279,198,3,29
1280,198,4,24
1281,199,1,35
1282,199,2,17
1283,199,3,19
1284,199,4,15
1285,200,4,2
1286,201,1,9
1287,201,2,6
1288,201,3,4
1289,202,1,24
1290,202,2,8
1291,202,3,2
1292,203,1,3
1293,203,3,2
1294,204,1,7
1295,204,2,3
1296,204,3,3
1297,205,1,2
1298,205,4,2
1299,206,1,2
1300,206,2,2
1301,206,3,3
1302,206,4,5
1303,207,1,11
1304,207,2,30
1305,207,3,11
1306,207,4,25
1307,208,1,3
1308,208,2,2
