form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
ſpreche,ſpreche,sprechen,,1425.0,t13990,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
ſprechin,ſprechin,ansprechen,,1425.0,t14100,24,0.0914623689515744,28,0.1067060971101702,ENHG,27,Central German,3,sprechen,sprechin,spricht,spreχi,spriχ,yes,no
kompt,kompt,kommen,,1425.0,t14196,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
kompt,kompt,kommen,,1425.0,t14206,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
kompt,kompt,kommen,,1425.0,t14216,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
kome,kome,kommen,,1425.0,t14339,7651,29.15744103535402,84,0.3201182913305107,ENHG,3,Central German,1,kommen,kome,kompt,kom,komp,no,no
Spríchſtu,Spríchſ,ansprechen,,1425.0,t14371,24,0.0914623689515744,1,0.0038109320396489,ENHG,27,Central German,1,sprechen,spríchs,spricht,spriχs,spriχ,no,no
helt,helt,halten,,1425.0,t14391,2619,9.980831011840566,273,1.04038444682416,ENHG,24,Central German,1,halten,helt,halden,hel,hald,yes,no
gebunden,gebunden,binden,,1425.0,t14419,368,1.4024229905908088,133,0.5068539612733086,ENHG,66,Central German,4,binden,gebunden,binden,bund,bind,yes,no
wiſſet,wiſſet,wissen,,1425.0,t14476,2994,11.409930526708916,78,0.2972526990926171,ENHG,221,Central German,1,wissen,wiset,wisen,wis,wis,no,no
gebunden,gebunden,binden,,1425.0,t14502,368,1.4024229905908088,133,0.5068539612733086,ENHG,66,Central German,4,binden,gebunden,binden,bund,bind,yes,no
czewhet,czewhet,ziehen,,1425.0,t14578,1321,5.034241224376246,7,0.0266765242775425,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
wíſſet,wíſſet,wissen,,1425.0,t14635,2994,11.409930526708916,10,0.0381093203964893,ENHG,221,Central German,1,wissen,wíset,wisen,wis,wis,no,no
ſprechen,ſprechen,sprechen,,1425.0,t14665,8120,30.94476816194937,440,1.6768100974455322,ENHG,27,Central German,1,sprechen,sprechen,spricht,spreχ,spriχ,yes,no
vyndet,vyndet,finden,,1425.0,t14725,2689,10.24759625461599,6,0.0228655922378936,ENHG,38,Central German,1,finden,vyndet,vinde,vind,vind,no,no
fyndet,fyndet,finden,,1425.0,t14732,2689,10.24759625461599,21,0.0800295728326276,ENHG,38,Central German,1,finden,fyndet,vinde,find,vind,no,no
geſaczt,geſaczt,setzen,,1425.0,t14746,1699,6.474773535363544,76,0.2896308350133192,ENHG,190,Central German,4,setzen,gesaczt,setzen,saz,seʦ,yes,yes
fíndet,fíndet,finden,,1425.0,t14856,2689,10.24759625461599,7,0.0266765242775425,ENHG,38,Central German,1,finden,fíndet,vinde,find,vind,no,no
czihen,czihen,ziehen,,1425.0,t14900,1321,5.034241224376246,19,0.0724077087533298,ENHG,17,Central German,1,ziehen,czihen,zihen,zih,zih,no,no
ſtroffen,ſtroffen,strafen,,1425.0,t15006,501,1.9092769518641173,15,0.057163980594734,ENHG,201,Central German,1,strafen,strofen,strafen,strof,straf,yes,no
díenen,díenen,dienen,,1425.0,t15027,616,2.347534136423745,12,0.0457311844757872,ENHG,75,Central German,1,dienen,díenen,dienen,dien,dien,no,no
ſcheyden,ſcheyden,scheiden,,1425.0,t15149,411,1.566293068295713,31,0.118138893229117,ENHG,171,Central German,1,scheiden,scheyden,scheiden,ʃeid,ʃeid,no,no
helt/,helt,halten,,1425.0,t15240,2619,9.980831011840566,273,1.04038444682416,ENHG,24,Central German,1,halten,helt,halden,hel,hald,yes,no
beſtanden,beſtanden,bestehen,,1425.0,t15359,259,0.9870313982690746,16,0.0609749126343829,ENHG,9,Central German,4,stehen,bestanden,stet,stand,ste,yes,yes
bíndet,bíndet,halten,,1425.0,t15372,2619,9.980831011840566,2,0.0076218640792978,ENHG,24,Central German,1,halten,bíndet,halden,bind,hald,yes,yes
