form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation,modern_lemma_count
geſchach,geschach,ge-schëhen,|g=g|e=e|=-|sch=sch|a=a|c[h]=h|,1150.0,M004,2495,0.9673257146579116,425,0.164774921334514,MHG,118,Upper German,2,schëhen,geschach,geschihet,ʃaχ,ʃih,yes,yes,323529
lie,lie,lâzen,|l=l|ie=iè|,1150.0,M004,3725,1.4442037222848585,142,0.0550542090105905,MHG,4,Upper German,2,lâzen,lie,lâzen,li,laz,yes,no,1408679
gewinnen,gewinnen,ge-winnen,|g=g|e=e|=-|w=w|i=i|nn=nn|e=e|n=n|,1150.0,M004,1883,0.7300498279362115,238,0.0922739559473278,MHG,120,Upper German,1,winnen,gewinen,gewinen,win,win,no,no,632324
ſprach,sprach,sprëchen/zuo>+,|s=s|p=p|r=r|a=a|ch=ch|,1150.0,M004,74,0.0286902215970683,3979,1.542680969388309,MHG,27,Upper German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no,559127
enphienc,entvienc,ent-vâhen,|e=e|n=n|ph=t-v|ie=iè|n=n|c=g|,1150.0,M004,1799,0.6974825493665664,21,0.0081418196424112,MHG,19,Upper German,2,vâhen,entvienc,entvâhen,vienc,vah,yes,yes,75600
giench,gienc,gân,|g=g|ie=iè|n=n|ch=g|,1150.0,M004,3931,1.5240710959199404,48,0.0186098734683686,MHG,1,Upper German,2,gân,gienc,gên,gienc,ge,yes,yes,1624058
huͦb,huop,hèben,|h=h|u\o=uo|b=b|,1150.0,M004,657,0.2547226430982958,77,0.0298533386888413,MHG,90,Upper German,2,hèben,huop,hebet,huop,heb,yes,no,74485
fuͦr,vuor,var(e)n,|f=v|u\o=uo|r=r|,1150.0,M004,2188,0.848300065599804,111,0.0430353323956024,MHG,89,Upper German,2,varen,vuor,varn,vuor,var,yes,no,228317
geſcriben,geschriben,schrîben,|g=g|e=e|=-|sc=sch|r=r|i=i|b=b|e=e|n=n|,1150.0,M004,1626,0.6304094637409878,202,0.0783165508460513,MHG,26,Upper German,4,schrîben,geschriben,schrîben,ʃrib,ʃrib,no,no,1116108
ſtet,stêt,stân,|s=s|t=t|e=ê|t=t|,1150.0,M004,2872,1.113490762524057,357,0.1384109339209917,MHG,9,Upper German,1,stân,stêt,stêt,ste,ste,no,no,1656734
tete,tete,tuon,|t=t|e=ë|t=t|e=e|,1150.0,M004,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Upper German,2,tuon,tete,tuon,tet,tuo,yes,yes,816544
gebot,gebôt,ge-bièten,|g=g|e=e|=-|b=b|o=ô|t=t|,1150.0,M004,1098,0.4257008555889327,431,0.1671011555180601,MHG,18,Upper German,2,bièten,gebôt,gebiutet,bo,biut,yes,no,168728
geſach,gesach,ge-sëhen,|g=g|e=e|=-|s=s|a=a|ch=h|,1150.0,M004,1120,0.4342303809286016,305,0.1182502376635924,MHG,22,Upper German,2,sëhen,gesach,sehen,saχ,seh,yes,yes,2454558
genaſ,genas,ge-nësen,|g=g|e=e|=-|n=n|a=a|s=s|,1150.0,M004,578,0.224093893014939,48,0.0186098734683686,MHG,117,Upper German,2,nësen,genas,genesen,nas,nes,yes,no,4600
uernamen,vernâmen,ver-nëmen,|u=v|e=e|r=r|=-|n=n|a=â|m=m|e=e|n=n|,1150.0,M004,1523,0.5904757769234468,62,0.0240377532299761,MHG,47,Upper German,3,nëmen,vernâmen,nemen,nam,nem,yes,no,1089016
chomen,kômen,komen,|ch=k|o=ô|m=m|e=e|n=n|,1150.0,M004,8461,3.280377904497231,780,0.3024104438609905,MHG,3,Upper German,3,komen,kômen,kumet,kom,kum,yes,no,2282150
begangen,begangen,be-gân,|b=b|e=e|=-|g=g|a=a|n=n|g=g|e=e|n=n|,1150.0,M004,716,0.2775972792364989,66,0.0255885760190068,MHG,1,Upper German,4,gân,begangen,gên,gang,ge,yes,yes,1624058
beuangen,bevangen,be-vâhen,|b=b|e=e|=-|u=v|a=a|n=n|g=g|e=e|n=n|,1150.0,M004,174,0.0674607913228363,63,0.0244254589272338,MHG,19,Upper German,4,vâhen,bevangen,entvâhen,vang,vah,no,yes,75600
geſazen,gesâzen,ge-sitzen,|g=g|e=e|=-|s=s|a=â|z=z|e=e|n=n|,1150.0,M004,144,0.0558296204051059,9,0.0034893512753191,MHG,57,Upper German,3,sitzen,gesâzen,sitzen,saz,siʦ,yes,yes,171469
beſniden,besnîden,be-snîden,|b=b|e=e|=-|s=s|n=n|i=î|d=d|e=e|n=n|,1150.0,M004,77,0.0298533386888413,13,0.0050401740643498,MHG,8,Upper German,1,snîden,besnîden,snîden,snid,snid,no,no,26314
nam,nam,nëmen,|n=n|a=a|m=m|,1150.0,M004,4030,1.5624539599484506,1167,0.4524525486997126,MHG,47,Upper German,2,nëmen,nam,nemen,nam,nem,yes,no,1089016
begunden,begunden,be-ginnen,|b=b|e=e|=-|g=g|u=u|n=n|d=d|e=e|n=n|,1150.0,M004,1927,0.7471088786155495,181,0.0701747312036401,MHG,40,Upper German,3,ginnen,begunden,beginet,gu,gin,yes,no,823183
ſtuͦnt,[stuont],stân,*|[stu\ont]=[stuont]|,1150.0,M004,2872,1.113490762524057,111,0.0430353323956024,MHG,9,Upper German,2,stân,stuont,stêt,stuon,ste,yes,no,1656734
ſcreib,schreip,schrîben,|sc=sch|r=r|ei=èi|b=b|,1150.0,M004,1626,0.6304094637409878,23,0.0089172310369266,MHG,26,Upper German,2,schrîben,schreip,schrîben,ʃreip,ʃrib,yes,no,1116108
uoleſcreib,volleschreip,voll-schrîben,|u=v|o=o|l=ll|e=e|=-|sc=sch|r=r|ei=èi|b=b|,1150.0,M004,6,0.002326234183546,1,0.0003877056972576,MHG,26,Upper German,2,schrîben,voleschreip,schrîben,voleʃreip,ʃrib,yes,yes,1116108
ſweich,sweic,swîgen,|s=s|w=w|ei=èi|ch=g|,1150.0,M004,178,0.069011614111867,7,0.0027139398808037,MHG,182,Upper German,2,swîgen,sweic,swîgen,sweic,swig,yes,yes,22514
getan,getân,tuon,|g=g|e=e|=-|t=t|a=â|n=n|,1150.0,M004,8576,3.3249640596818644,1415,0.5486035616196173,MHG,14,Upper German,4,tuon,getân,tuon,ta,tuo,yes,no,816544
lazen,lâzen,lâzen,|l=l|a=â|z=z|e=e|n=n|,1150.0,M004,3725,1.4442037222848585,321,0.1244535288197153,MHG,4,Upper German,1,lâzen,lâzen,lâzen,laz,laz,no,no,1408679
enphie,entvieng,ent-vâhen,|e=e|n=n|=t|=-|ph=v|ie=iè|=ng|,1150.0,M004,1799,0.6974825493665664,79,0.0306287500833567,MHG,19,Upper German,2,vâhen,entvieng,entvâhen,vieng,vah,yes,yes,75600
beginnen,beginnen,be-ginnen,|b=b|e=e|=-|g=g|i=i|nn=nn|e=e|n=n|,1150.0,M004,1927,0.7471088786155495,35,0.0135696994040188,MHG,40,Upper German,1,ginnen,beginen,beginet,gin,gin,no,no,823183
begunde,begunde,be-ginnen,|b=b|e=e|=-|g=g|u=u|n=n|d=d|e=e|,1150.0,M004,1927,0.7471088786155495,394,0.1527560447195259,MHG,40,Upper German,2,ginnen,begunde,beginet,gu,gin,yes,no,823183
trug,truoc,tragen,|t=t|r=r|u=uo|g=g|,1150.0,M004,1651,0.6401021061724298,24,0.0093049367341843,MHG,11,Upper German,2,tragen,truoc,tragen,truoc,trag,yes,yes,518200
truͦge,trüege,tragen,|t=t|r=r|u\o=üè|g=g|e=e|,1150.0,M004,1651,0.6401021061724298,14,0.0054278797616075,MHG,11,Upper German,3,tragen,trüege,tragen,trüeg,trag,yes,no,518200
ſingen,singen,singen,|s=s|i=i|n=n|g=g|e=e|n=n|,1150.0,M004,636,0.2465808234558845,96,0.0372197469367372,MHG,192,Upper German,1,singen,singen,singen,sing,sing,no,no,104498
leſen,lesen,lësen,|l=l|e=ë|s=s|e=e|n=n|,1150.0,M004,1049,0.4067032764233064,330,0.1279428800950344,MHG,144,Upper German,1,lësen,lesen,lesen,les,les,no,no,654360
ferlorn,verloren,ver-lièsen,|f=v|e=e|r=r|=-|l=l|o=o|r=r|=e|n=n|,1150.0,M004,1149,0.4454738461490743,6,0.002326234183546,MHG,214,Upper German,4,lièsen,verloren,verliesen,lor,lies,yes,yes,352961
ſtunt,stuont,stân,|s=s|t=t|u=uo|n=n|t=t|,1150.0,M004,2872,1.113490762524057,280,0.1085575952321504,MHG,9,Upper German,2,stân,stuont,stêt,stuon,ste,yes,no,1656734
ſah,sach,sëhen,|s=s|a=a|h=h|,1150.0,M004,4169,1.6163450518672682,210,0.0814181964241128,MHG,22,Upper German,2,sëhen,sach,sehen,saχ,seh,yes,yes,2454558
gan,gân,gân/în>+,|g=g|a=â|n=n|,1150.0,M004,72,0.0279148102025529,664,0.2574365829790995,MHG,1,Upper German,1,gân,gân,gên,ga,ge,yes,no,1624058
ſluͦch,sluoc,slahen/abe>+,|s=s|l=l|u\o=uo|ch=g|,1150.0,M004,101,0.0391582754230256,24,0.0093049367341843,MHG,7,Upper German,2,slahen,sluoc,slahen,sluoc,slah,yes,yes,198277
gab,gap,gëben,|g=g|a=a|b=b|,1150.0,M004,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Upper German,2,gëben,gap,geben,gap,be,yes,yes,3796581
geriet,geriet,ge-râten,|g=g|e=e|=-|r=r|ie=iè|t=t|,1150.0,M004,136,0.0527279748270444,42,0.0162836392848225,MHG,48,Upper German,2,râten,geriet,râten,ri,rat,yes,no,53392
huben,huoben,hèben/ûf>+,|h=h|u=uo|b=b|e=e|n=n|,1150.0,M004,118,0.0457492722764062,70,0.0271393988080376,MHG,90,Upper German,3,hèben,huoben,hebet,huob,heb,yes,no,74485
trugen,truogen,tragen,|t=t|r=r|u=uo|g=g|e=e|n=n|,1150.0,M004,1651,0.6401021061724298,40,0.0155082278903072,MHG,11,Upper German,3,tragen,truogen,tragen,truog,trag,yes,no,518200
wrfen,wurfen,wërfen,|w=w|=u|r=r|f=f|e=e|n=n|,1150.0,M004,506,0.1961790828123861,17,0.0065909968533805,MHG,16,Upper German,3,wërfen,wurfen,werfen,wurf,werf,yes,no,132019
rechen,rechen,rëchen,|r=r|e=ë|ch=ch|e=e|n=n|,1150.0,M004,376,0.1457773421688877,74,0.0286902215970683,MHG,167,Upper German,1,rëchen,rechen,rechen,reχ,reχ,no,no,8668
geſprechen,gesprechen,ge-sprëchen,|g=g|e=e|=-|s=s|p=p|r=r|e=ë|ch=ch|e=e|n=n|,1150.0,M004,186,0.0721132596899284,47,0.0182221677711109,MHG,27,Upper German,1,sprëchen,gesprechen,sprechen,spreχ,spreχ,no,no,559127
gewnnen,gewunnen,ge-winnen,|g=g|e=e|=-|w=w|=u|nn=nn|e=e|n=n|,1150.0,M004,1883,0.7300498279362115,82,0.0317918671751297,MHG,120,Upper German,3,winnen,gewunen,gewinen,wun,win,yes,no,632324
waſchen,waschen,waschen/abe>+,|w=w|a=a|sch=sch|e=e|n=n|,1150.0,M004,6,0.002326234183546,12,0.0046524683670921,MHG,218,Upper German,1,waschen,waschen,waschen,waʃ,waʃ,no,no,8207
uant,vant,vinden,|u=v|a=a|n=n|t=d|,1150.0,M004,1993,0.7726974546345564,173,0.0670730856255786,MHG,38,Upper German,2,vinden,vant,vindet,van,vind,yes,no,2586288
geneſen,genesen,ge-nësen,|g=g|e=e|=-|n=n|e=ë|s=s|e=e|n=n|,1150.0,M004,578,0.224093893014939,171,0.0662976742310633,MHG,117,Upper German,1,nësen,genesen,genesen,nes,nes,no,no,4600
tet,tet,tuon,|t=t|e=ë|t=t|,1160.0,M005,8576,3.3249640596818644,942,0.3652187668167346,MHG,14,Central German,2,tuon,tet,tuon,te,tuo,yes,no,816544
beſezzen,besezzen,be-sitzen,|[b]=b|e=e|=-|s=s|[e]=ë|[zz]=zz|[e]=e|[n]=n|,1160.0,M005,467,0.1810585606193366,63,0.0244254589272338,MHG,57,Central German,4,sitzen,besezen,sitzen,sez,siʦ,yes,yes,171469
truͦc,truoc,tragen,*|[tru\oc]=truog|,1160.0,M005,1651,0.6401021061724298,42,0.0162836392848225,MHG,11,Central German,2,tragen,truoc,tragen,truoc,trag,yes,yes,518200
intuienc,entvienc,ent-vâhen,*|[intuienc]=ent-vièng|,1160.0,M005,1799,0.6974825493665664,1,0.0003877056972576,MHG,19,Central German,2,vâhen,entvienc,entvâhen,vienc,vah,yes,yes,75600
quam,quam,komen,*|[quam]=quam|,1160.0,M005,8461,3.280377904497231,931,0.3609540041469001,MHG,3,Central German,2,komen,quam,kumet,quam,kum,yes,yes,2282150
tete,tæte,tuon,*|[tete]=tæte|,1160.0,M005,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Central German,3,tuon,tæte,tuon,tät,tuo,yes,yes,816544
warp,warp,wërben,|[w]=w|[a]=a|[r]=r|p=b|,1160.0,M005,266,0.1031297154705429,22,0.0085295253396689,MHG,100,Central German,2,wërben,warp,werben,warp,werb,yes,no,124451
gab,gap,gëben,|g=g|a=a|b=b|,1160.0,M005,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Central German,2,gëben,gap,geben,gap,be,yes,yes,3796581
gehalf,gehalf,ge-hëlfen,|g=g|e=e|=-|h=h|a=a|l=l|f=f|,1160.0,M005,111,0.0430353323956024,13,0.0050401740643498,MHG,2,Central German,2,hëlfen,gehalf,helfen,half,helf,yes,no,445173
geſchach,geschach,ge-schëhen,|g=g|e=e|=-|sch=sch|a=a|ch=h|,1160.0,M005,2495,0.9673257146579116,425,0.164774921334514,MHG,118,Central German,2,schëhen,geschach,geschiet,ʃaχ,ʃi,yes,no,323529
az,az,ëzzen,|a=a|z=zz|,1160.0,M005,643,0.2492947633366883,94,0.0364443355422219,MHG,102,Central German,2,ëzzen,az,ezen,az,ez,yes,no,85741
tranc,tranc,trinken,|t=t|r=r|a=a|n=n|c=k|,1160.0,M005,332,0.1287182914895497,35,0.0135696994040188,MHG,97,Central German,2,trinken,tranc,trinken,tranc,trink,yes,yes,27995
uirſcheidan,verscheiden,ver-schèiden,|u=v|i=e|r=r|=-|sch=sch|ei=èi|d=d|a=é|n=n|,1160.0,M005,112,0.0434230380928601,2,0.0007754113945153,MHG,171,Central German,1,schèiden,verscheiden,scheiden,ʃeid,ʃeid,no,no,94027
bequā,bequam,be-komen,|b=b|e=e|=-|qu=qu|a=a|\-=m|,1160.0,M005,138,0.0535033862215598,4,0.0015508227890307,MHG,3,Central German,2,komen,bequam,kumet,quam,kum,yes,yes,2282150
ſchein,schein,schînen/ane>.+,|sch=sch|ei=èi|n=n|,1160.0,M005,1,0.0003877056972576,60,0.0232623418354608,MHG,95,Central German,2,schînen,schein,schînen,ʃei,ʃin,yes,no,527073
hube,hüebe,hèben/ûf>+,|h=h|u=üè|b=b|e=e|,1160.0,M005,118,0.0457492722764062,9,0.0034893512753191,MHG,90,Central German,3,hèben,hüebe,heben,hüeb,heb,yes,no,74485
truge,trüege,tragen,|t=t|r=r|u=üè|g=g|e=e|,1160.0,M005,1651,0.6401021061724298,10,0.0038770569725768,MHG,11,Central German,3,tragen,trüege,tragen,trüeg,trag,yes,no,518200
ſprachē,sprâchen,sprëchen,|s=s|p=p|r=r|a=â|ch=ch|e=e|\-=n|,1160.0,M005,11533,4.471409806472824,18,0.0069787025506382,MHG,27,Central German,3,sprëchen,sprâchen,sprechen,spraχ,spreχ,yes,no,559127
gehulfe,gehülfe,ge-hëlfen,|g=g|e=e|=-|h=h|u=ü|l=l|f=f|e=e|,1160.0,M005,111,0.0430353323956024,5,0.0019385284862884,MHG,2,Central German,3,hëlfen,gehülfe,helfen,hülf,helf,yes,no,445173
getet,getæte,ge-tuon,|g=g|e=e|=-|t=t|e=æ|t=t|=e|,1160.0,M005,578,0.224093893014939,66,0.0255885760190068,MHG,14,Central German,3,tuon,getæte,tuon,tät,tuo,yes,yes,816544
uūdē,vunten,vinden,|u=v|u=u|\-=n|d=t|e=e|\-=n|,1160.0,M005,1993,0.7726974546345564,1,0.0003877056972576,MHG,38,Central German,3,vinden,vunten,vinden,vu,vi,yes,no,2586288
uunden,vunden,vinden,|u=v|u=u|n=n|d=d|e=e|n=n|,1160.0,M005,1993,0.7726974546345564,42,0.0162836392848225,MHG,38,Central German,4,vinden,vunden,vinden,vu,vi,yes,no,2586288
ſprach,sprach,sprëchen,|s=s|[p]=p|r=r|a=a|ch=ch|,1160.0,M005,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no,559127
beſtan,bestân,be-stân,|b=b|e=e|=-|[s]=s|[t]=t|[a]=â|[n]=n|,1160.0,M005,490,0.1899757916562632,121,0.0469123893681792,MHG,9,Central German,1,stân,bestân,stân,sta,sta,no,no,1656734
queme,quæme,komen/wider(e)>+,|qu=qu|[e]=æ|[m]=m|[e]=e|,1160.0,M005,75,0.029077927294326,153,0.059318971680425,MHG,3,Central German,3,komen,quæme,kumet,quäm,kum,yes,yes,2282150
tete,tete,tuon,|[t]=t|[e]=ë|[t]=t|e=e|,1160.0,M005,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Central German,2,tuon,tete,tuon,tet,tuo,yes,yes,816544
tetē,tæten,tuon,|t=t|e=æ|t=t|e=e|\-=n|,1160.0,M005,8576,3.3249640596818644,10,0.0038770569725768,MHG,14,Central German,3,tuon,tæten,tuon,tät,tuo,yes,yes,816544
getun,getuon,ge-tuon,|[g]=g|[e]=e|=-|[t]=t|u=uo|n=n|,1160.0,M005,578,0.224093893014939,33,0.0127942880095034,MHG,14,Central German,1,tuon,getuon,tuon,tuo,tuo,no,no,816544
uirwizzē,verwizzen,ver-wîzen,|u=v|i=e|r=r|=-|w=w|i=i|zz=zz|e=e|\-=n|,1160.0,M005,34,0.0131819937067611,1,0.0003877056972576,MHG,221,Central German,3,wîzen,verwizen,wîzen,wiz,wiz,no,no,1028366
geſach,gesach,ge-sëhen,*|[g]=g|[e]=e|=-|[s]=s|[a]=a|[ch]=h|,1160.0,M005,1120,0.4342303809286016,305,0.1182502376635924,MHG,22,Central German,2,sëhen,gesach,sehen,saχ,seh,yes,yes,2454558
irliezen,erliezen,er-lâzen,*|[irliezen]=er-lièzen|,1160.0,M005,100,0.038770569725768,1,0.0003877056972576,MHG,4,Central German,3,lâzen,erliezen,lâzen,liez,laz,yes,no,1408679
uielē,vielen,vallen,|u=v|ie=iè|l=l|e=e|\-=n|,1160.0,M005,860,0.3334268996416049,5,0.0019385284862884,MHG,31,Central German,3,vallen,vielen,valen,viel,val,yes,no,255517
ſtan,stân,stân/ûf>+,|s=s|t=t|a=â|n=n|,1160.0,M005,229,0.0887846046720087,315,0.1221272946361692,MHG,9,Central German,1,stân,stân,stân,sta,sta,no,no,1656734
gan,gân,gân,*|[gan]=gân|,1160.0,M005,3931,1.5240710959199404,664,0.2574365829790995,MHG,1,Central German,1,gân,gân,gân,ga,ga,no,no,1624058
ſchiedē,schieden,schèiden,|sch=sch|ie=iè|d=d|e=e|\-=n|,1160.0,M005,766,0.2969825640993829,1,0.0003877056972576,MHG,171,Central German,3,schèiden,schieden,scheiden,ʃied,ʃeid,yes,no,94027
durchgozzē,durchgozzen,durh-gièzen,|d=d|u=u|r=r|ch=h|=-|g=g|o=o|zz=zz|e=e|\-=n|,1160.0,M005,6,0.002326234183546,1,0.0003877056972576,MHG,123,Central German,4,gièzen,durchgozen,giezen,durχgoz,giez,yes,yes,46989
getan,getân,tuon,|g=g|e=e|=-|t=t|a=â|n=n|,1160.0,M005,8576,3.3249640596818644,1415,0.5486035616196173,MHG,14,Central German,4,tuon,getân,tuon,ta,tuo,yes,no,816544
gewūne,gewünne,ge-winnen,|g=g|e=e|=-|w=w|u=ü|\-n=nn|e=e|,1160.0,M005,1883,0.7300498279362115,2,0.0007754113945153,MHG,120,Central German,3,winnen,gewüne,gewinen,wün,win,yes,no,632324
geſchehit,geschihet,ge-schëhen,|g=g|e=e|=-|sch=sch|e=i|h=h|i=e|t=t|,1160.0,M005,2495,0.9673257146579116,1,0.0003877056972576,MHG,118,Central German,1,schëhen,geschihet,geschiet,ʃih,ʃi,no,no,323529
tvͦt,tuot,tuon,|t=t|v\o=uo|t=t|,1160.0,M005,8576,3.3249640596818644,208,0.0806427850295974,MHG,14,Central German,1,tuon,tuot,tuon,tuo,tuo,no,no,816544
uirluſit,verliuset,ver-lièsen,|u=v|i=e|r=r|=-|l=l|u=iu|s=s|i=e|t=t|,1160.0,M005,1149,0.4454738461490743,1,0.0003877056972576,MHG,214,Central German,1,lièsen,verliuset,verliesen,lius,lies,yes,no,352961
intgeldē,entgelten,ent-gëlten,|i=e|n=n|t=t|=-|g=g|e=ë|l=l|d=t|e=e|\-=n|,1160.0,M005,113,0.0438107437901178,1,0.0003877056972576,MHG,84,Central German,1,gëlten,entgelten,gelten,lte,lte,no,no,630528
nam,nam,nëmen,|n=n|a=a|m=m|,1160.0,M005,4030,1.5624539599484506,1167,0.4524525486997126,MHG,47,Central German,2,nëmen,nam,nemen,nam,nem,yes,no,1089016
uuͦr,vuor,var(e)n,|u=v|u\o=uo|r=r|,1160.0,M005,2188,0.848300065599804,24,0.0093049367341843,MHG,89,Central German,2,varen,vuor,varen,vuor,var,yes,no,228317
uirnam,vernam,ver-nëmen,|[u]=v|[i]=e|[r]=r|=-|n=n|a=a|m=m|,1160.0,M005,1523,0.5904757769234468,24,0.0093049367341843,MHG,47,Central German,2,nëmen,vernam,nemen,nam,nem,yes,no,1089016
gewā,gewan,ge-winnen,|g=g|[e]=e|=-|[w]=w|[a]=a|[\-]=n|,1160.0,M005,1883,0.7300498279362115,10,0.0038770569725768,MHG,120,Central German,2,winnen,gewan,gewinen,wa,win,yes,no,632324
ſtreich,streich,strîchen,|s=s|t=t|r=r|ei=èi|c[h]=ch|,1160.0,M005,83,0.0321795728723874,17,0.0065909968533805,MHG,203,Central German,2,strîchen,streich,bestrîchen,streiχ,striχ,yes,no,97492
uloch,vlôch,vlièhen,|[u]=v|[l]=l|[o]=ô|ch=h|,1160.0,M005,464,0.1798954435275635,5,0.0019385284862884,MHG,83,Central German,2,vlièhen,vlôch,vliehen,vloχ,vlieh,yes,yes,61334
uant,vant,vinden,|u=v|[a]=a|[n]=n|[t]=d|,1160.0,M005,1993,0.7726974546345564,173,0.0670730856255786,MHG,38,Central German,2,vinden,vant,vinden,van,vi,yes,no,2586288
ſten,stên,stân,*|[sten]=stên|,1160.0,M005,2872,1.113490762524057,230,0.0891723103692664,MHG,9,Central German,1,stân,stên,stân,ste,sta,yes,no,1656734
ſizzen,sitzen,sitzen,*|[sizzen]=sitzen|,1160.0,M005,1185,0.4594312512503509,49,0.0189975791656263,MHG,57,Central German,1,sitzen,sitzen,sitzen,siʦ,siʦ,no,no,171469
genaſ,genas,ge-nësen,|g=g|e=e|=-|n=n|a=a|[s]=s|,1160.0,M005,578,0.224093893014939,48,0.0186098734683686,MHG,117,Central German,2,nësen,genas,genesen,nas,nes,yes,no,4600
brah⸗te,brâhte,bringen,|[b]=b|[r]=r|a=â|[h]=h|t=t|e=e|,1160.0,M005,2041,0.791307328102925,3,0.001163117091773,MHG,73,Central German,2,bringen,brâhte,brengen,braht,breng,yes,yes,710785
leit,leit,lîden,|l=l|ei=èi|t=d|,1160.0,M005,769,0.298145681191156,229,0.0887846046720087,MHG,93,Central German,2,lîden,leit,lîden,lei,lid,yes,no,70497
uirmeit,vermeit,ver-mîden,|u=v|[i]=e|[r]=r|=-|[m]=m|[ei]=èi|t=d|,1160.0,M005,183,0.0709501425981554,3,0.001163117091773,MHG,147,Central German,2,mîden,vermeit,vermîden,mei,mid,yes,no,269327
beſchinē,beschînen,be-schînen,|b=b|e=e|=-|sch=sch|i=î|n=n|e=e|\-=n|,1160.0,M005,19,0.0073664082478959,1,0.0003877056972576,MHG,95,Central German,1,schînen,beschînen,schînen,ʃin,ʃin,no,no,527073
ran,ran,rinnen/abe>+,|r=r|a=a|n=n|,1160.0,M005,2,0.0007754113945153,35,0.0135696994040188,MHG,166,Central German,2,rinnen,ran,entrinen,ra,rin,yes,no,2717
treip,treip,trîben,*|[treip]=trèib|,1160.0,M005,327,0.1267797630032613,48,0.0186098734683686,MHG,12,Central German,2,trîben,treip,vertrîben,treip,trib,yes,no,64758
erliden,erlîden,er-lîden,*|[erliden]=er-lîden|,1160.0,M005,145,0.0562173261023636,22,0.0085295253396689,MHG,93,Central German,1,lîden,erlîden,lîden,lid,lid,no,no,70497
lief,lief,loufen,*|[lief]=lièf|,1160.0,M005,353,0.136860111131961,93,0.0360566298449642,MHG,5,Central German,2,loufen,lief,loufen,lief,louf,yes,no,251388
