form_id,time,time_since_prev,obs_v,obs_c,dialect_group
kièsen_--,1200,0.0,1,1,Upper German
kièsen_--,1200,0.0,1,1,Upper German
kièsen_--,1200,0.0,1,1,Upper German
kièsen_--,1210,10.0,1,1,Upper German
kièsen_--,1210,0.0,1,1,Upper German
kièsen_--,1210,0.0,1,1,Upper German
kièsen_--,1220,10.0,1,1,Upper German
kièsen_--,1220,0.0,1,1,Upper German
kièsen_--,1225,5.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Central German
kièsen_--,1225,0.0,1,1,Central German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Central German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Central German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Upper German
kièsen_--,1225,0.0,1,1,Central German
kièsen_--,1240,15.0,1,1,Upper German
kièsen_--,1250,10.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Central German
kièsen_--,1250,0.0,1,1,Upper German
kièsen_--,1269,19.0,1,1,Central German
kièsen_--,1275,6.0,1,1,Upper German
kièsen_--,1275,0.0,1,1,Upper German
kièsen_--,1278,3.0,1,1,Central German
kièsen_--,1280,2.0,1,1,Upper German
kièsen_--,1285,5.0,1,1,Upper German
kièsen_--,1293,8.0,1,1,Upper German
kièsen_--,1295,2.0,1,1,Central German
kièsen_--,1298,3.0,1,1,Central German
kièsen_--,1300,2.0,1,1,Upper German
kièsen_--,1300,0.0,1,1,Central German
kièsen_--,1300,0.0,1,1,Upper German
kièsen_--,1301,1.0,1,1,Upper German
kièsen_--,1321,20.0,1,1,Central German
kièsen_--,1325,4.0,1,1,Upper German
kièsen_--,1325,0.0,1,1,Central German
kièsen_--,1325,0.0,1,1,Central German
kièsen_--,1325,0.0,1,1,Central German
kièsen_--,1325,0.0,1,1,Upper German
kièsen_--,1325,0.0,1,1,Central German
kièsen_--,1325,0.0,1,1,Upper German
kièsen_--,1325,0.0,1,1,Central German
kièsen_--,1325,0.0,1,1,Upper German
kièsen_--,1341,16.0,1,1,Upper German
kièsen_--,1342,1.0,1,1,Upper German
kièsen_--,1350,8.0,1,1,Central German
kièsen_--,1350,0.0,1,1,Central German
kièsen_Ind.Past.Sg.1,1160,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1175,15.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1190,15.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1190,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1200,10.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1250,50.0,1,1,Upper German
kièsen_Ind.Past.Sg.1,1269,19.0,1,1,Central German
