form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part
ſiht,ſiht,sehen,St,3.Sg.Präs.Ind,1363.0,t12471,3059,11.657641109286097,46,0.1753028738238511,ENHG,22,Upper German,1
nement,nement,nehmen,St,3.Pl.Präs.Ind,1363.0,t12480,3364,12.819975381379024,63,0.240088718497883,ENHG,47,Upper German,1
getriben,getriben,treiben,St|Sw,past_participle,1363.0,t12495,507,1.932142544102011,60,0.2286559223789362,ENHG,12,Upper German,4
funden,funden,finden,St|Sw|Unr,past_participle,1363.0,t12510,2689,10.24759625461599,253,0.9641658060311812,ENHG,38,Upper German,4
lazzend,lazzend,lassen,Unr,3.Pl.Präs.Ind,1363.0,t12516,3635,13.852737964123886,2,0.0076218640792978,ENHG,4,Upper German,1
get,get,gehen,Unr,3.Sg.Präs.Ind,1363.0,t12608,4922,18.757407499152063,347,1.322393417758181,ENHG,1,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t12638,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
chuͤ,chuͤmt,kommen,St,3.Sg.Präs.Ind,1363.0,t12656,7651,29.15744103535402,6,0.0228655922378936,ENHG,3,Upper German,1
get,get,gehen,Unr,3.Sg.Präs.Ind,1363.0,t12695,4922,18.757407499152063,347,1.322393417758181,ENHG,1,Upper German,1
ſcheint,ſcheint,scheinen,St,3.Sg.Präs.Ind,1363.0,t12719,140,0.5335304855508513,40,0.1524372815859574,ENHG,95,Upper German,1
erhebt,erhebt,erheben,St,3.Sg.Präs.Ind,1363.0,t12733,168,0.6402365826610213,52,0.1981684660617447,ENHG,90,Upper German,1
gevangen,gevangen,fangen,St,past_participle,1363.0,t12782,531,2.0236049130535854,21,0.0800295728326276,ENHG,19,Upper German,4
ſwimt,ſwimt,schwimmen,St,3.Sg.Präs.Ind,1363.0,t12793,18,0.0685967767136808,3,0.0114327961189468,ENHG,183,Upper German,1
gelazzen,gelazzen,lassen,St|Unr,past_participle,1363.0,t12799,3635,13.852737964123886,2,0.0076218640792978,ENHG,4,Upper German,4
get,get,gehen,Unr,3.Sg.Präs.Ind,1363.0,t12871,4922,18.757407499152063,347,1.322393417758181,ENHG,1,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t12874,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
ſehen,ſehen,sehen,St|Sw|Unr,infinitive,1363.0,t12889,3059,11.657641109286097,928,3.5365449327942136,ENHG,22,Upper German,1
vínt,vínt,finden,St,3.Sg.Präs.Ind,1363.0,t12900,2689,10.24759625461599,8,0.0304874563171914,ENHG,38,Upper German,1
ſprech,ſprechent,sprechen,St,3.Pl.Präs.Ind,1363.0,t12914,8120,30.94476816194937,108,0.4115806602820852,ENHG,27,Upper German,1
tranch,tranch,dringen,St,3.Sg.Prät.Ind,1363.0,t12925,144,0.5487742137094469,2,0.0076218640792978,ENHG,30,Upper German,2
tranch,tranch,dringen,St,3.Sg.Prät.Ind,1363.0,t12925,144,0.5487742137094469,2,0.0076218640792978,ENHG,30,Upper German,2
nem,nem,nehmen,St,3.Sg.Präs.Konj,1363.0,t12926,3364,12.819975381379024,139,0.5297195535112023,ENHG,47,Upper German,1
vertreiben,vertreiben,vertreiben,St|Sw,infinitive,1363.0,t12928,246,0.9374892817536384,38,0.1448154175066596,ENHG,12,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t12940,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
ſagen,ſagen,sagen,St|Sw|Unr,infinitive,1363.0,t13111,5924,22.575961402880303,1465,5.583015438085693,ENHG,168,Upper German,1
gehoͤrt,gehoͤrt,gehören,St|Sw|Unr,past_participle,1363.0,t13120,872,3.323132738573873,227,0.8650815730003087,ENHG,113,Upper German,4
geſait,geſait,sagen,St|Sw|Unr,past_participle,1363.0,t13134,5924,22.575961402880303,42,0.1600591456652553,ENHG,168,Upper German,4
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13213,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
geſait,geſait,sagen,St|Sw|Unr,past_participle,1363.0,t13256,5924,22.575961402880303,42,0.1600591456652553,ENHG,168,Upper German,4
ſchriben,ſchriben,schreiben,St|Sw,infinitive,1363.0,t13262,1069,4.073886350384714,55,0.2096012621806915,ENHG,26,Upper German,1
ſprechent,ſprechent,sprechen,St,3.Pl.Präs.Ind,1363.0,t13302,8120,30.94476816194937,108,0.4115806602820852,ENHG,27,Upper German,1
erloſchen,erloſchen,erlöschen,St|Sw,infinitive,1363.0,t13313,31,0.118138893229117,7,0.0266765242775425,ENHG,94,Upper German,1
geben,geben,geben,St|Unr,infinitive,1363.0,t13407,6017,22.930378082567653,2282,8.696546914478875,ENHG,21,Upper German,1
ſprícht,ſprícht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13414,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Upper German,1
be=,benímpt,benehmen,St,3.Sg.Präs.Ind,1363.0,t13451,243,0.9260564856346916,3,0.0114327961189468,ENHG,47,Upper German,1
benímt,benímt,benehmen,St,3.Sg.Präs.Ind,1363.0,t13459,243,0.9260564856346916,2,0.0076218640792978,ENHG,47,Upper German,1
víndēt,víndēt,finden,St,3.Sg.Präs.Ind,1363.0,t13552,2689,10.24759625461599,1,0.0038109320396489,ENHG,38,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13591,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13629,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
benímt,benímt,benehmen,St,3.Sg.Präs.Ind,1363.0,t13658,243,0.9260564856346916,2,0.0076218640792978,ENHG,47,Upper German,1
ſprícht,ſprícht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13662,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13730,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13730,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13753,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13753,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
weíz,weíz,wissen,Unr,1.Sg.Präs.Ind,1363.0,t13756,2994,11.409930526708916,8,0.0304874563171914,ENHG,221,Upper German,1
leíden,leíden,leiden,St|Sw,infinitive,1363.0,t13760,936,3.567032389111405,9,0.0342983883568404,ENHG,93,Upper German,1
príngt,príngt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t13767,2168,8.262100661958895,6,0.0228655922378936,ENHG,73,Upper German,1
príngt,príngt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t13767,2168,8.262100661958895,6,0.0228655922378936,ENHG,73,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13777,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t13777,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
