form_id,time,time_since_prev,obs_v,obs_c,lemma_id,principal_part_id,dialect_group
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1475,0.0,0,0,3,4,Upper German
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1475,0.0,1,1,3,4,Upper German
fliehen_4,1475,0.0,1,0,3,4,Upper German
fliehen_4,1498,23.0,1,0,3,4,Upper German
fliehen_4,1525,27.0,1,0,3,4,Upper German
fliehen_4,1525,0.0,1,0,3,4,Upper German
fliehen_4,1557,32.0,1,0,3,4,Upper German
fliehen_4,1650,93.0,1,1,3,4,Upper German
fliehen_4,1684,34.0,1,0,3,4,Upper German
frieren_1,1486,0.0,1,0,4,1,Upper German
frieren_1,1490,4.0,1,0,4,1,Upper German
frieren_1,1498,8.0,1,1,4,1,Upper German
frieren_1,1498,0.0,1,0,4,1,Upper German
frieren_4,1499,0.0,1,1,4,4,Central German
frieren_4,1557,58.0,1,1,4,4,Upper German
kiesen2_1,1325,0.0,1,1,5,1,Upper German
kiesen2_1,1325,0.0,1,1,5,1,Upper German
kiesen2_1,1360,35.0,1,1,5,1,Upper German
kiesen2_1,1375,15.0,1,1,5,1,Low German
kiesen2_1,1378,3.0,1,1,5,1,Central German
kiesen2_1,1390,12.0,1,1,5,1,Upper German
kiesen2_1,1390,0.0,1,1,5,1,Upper German
kiesen2_1,1390,0.0,1,1,5,1,Upper German
kiesen2_1,1396,6.0,1,1,5,1,Central German
kiesen2_1,1475,79.0,1,1,5,1,Upper German
kiesen2_3,1375,0.0,1,1,5,3,Upper German
kiesen2_3,1396,21.0,0,1,5,3,Central German
kiesen2_3,1475,79.0,0,1,5,3,Central German
kiesen2_3,1668,193.0,0,0,5,3,Upper German
kiesen2_4,1378,0.0,1,1,5,4,Central German
kiesen2_4,1396,18.0,1,1,5,4,Central German
kiesen2_4,1599,203.0,1,1,5,4,Central German
kiesen2_4,1606,7.0,0,0,5,4,Central German
kiesen2_4,1668,62.0,1,1,5,4,Upper German
kiesen2_4,1678,10.0,1,1,5,4,Upper German
kièsen_1,1050,0.0,1,1,6,1,Upper German
kièsen_1,1050,0.0,1,1,6,1,Upper German
kièsen_1,1050,0.0,1,1,6,1,Upper German
kièsen_1,1050,0.0,1,1,6,1,Upper German
kièsen_1,1065,15.0,1,1,6,1,Upper German
kièsen_1,1070,5.0,1,1,6,1,Upper German
kièsen_1,1100,30.0,1,1,6,1,Central German
kièsen_1,1125,25.0,1,1,6,1,Upper German
kièsen_1,1140,15.0,1,1,6,1,Upper German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Upper German
kièsen_1,1140,0.0,1,1,6,1,Upper German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Central German
kièsen_1,1140,0.0,1,1,6,1,Upper German
kièsen_1,1140,0.0,0,1,6,1,Upper German
kièsen_1,1140,0.0,1,1,6,1,Upper German
kièsen_1,1140,0.0,1,1,6,1,Upper German
kièsen_1,1150,10.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1150,0.0,1,1,6,1,Upper German
kièsen_1,1160,10.0,1,1,6,1,Central German
kièsen_1,1160,0.0,1,1,6,1,Central German
kièsen_1,1160,0.0,1,1,6,1,Central German
kièsen_1,1160,0.0,1,1,6,1,Central German
kièsen_1,1160,0.0,1,1,6,1,Upper German
kièsen_1,1172,12.0,1,1,6,1,Upper German
kièsen_1,1172,0.0,1,1,6,1,Upper German
kièsen_1,1172,0.0,1,1,6,1,Upper German
kièsen_1,1172,0.0,1,1,6,1,Central German
kièsen_1,1180,8.0,0,1,6,1,Upper German
kièsen_1,1190,10.0,1,1,6,1,Upper German
kièsen_1,1190,0.0,0,1,6,1,Upper German
kièsen_1,1190,0.0,1,1,6,1,Upper German
kièsen_1,1190,0.0,1,1,6,1,Upper German
kièsen_1,1190,0.0,1,1,6,1,Upper German
kièsen_1,1190,0.0,1,1,6,1,Upper German
kièsen_1,1195,5.0,1,1,6,1,Upper German
kièsen_1,1200,5.0,1,1,6,1,Upper German
kièsen_1,1200,0.0,1,1,6,1,Upper German
kièsen_1,1200,0.0,1,1,6,1,Upper German
kièsen_1,1200,0.0,1,1,6,1,Upper German
kièsen_1,1200,0.0,1,1,6,1,Upper German
kièsen_1,1200,0.0,1,1,6,1,Upper German
kièsen_1,1210,10.0,1,1,6,1,Upper German
kièsen_1,1210,0.0,1,1,6,1,Upper German
kièsen_1,1220,10.0,1,1,6,1,Upper German
kièsen_1,1220,0.0,1,1,6,1,Upper German
