lemma_id,variety,std_infl,support_tokens,vowel_mode_support,vowel_mode_tied,coda_mode_support,coda_mode_tied
170,Central German,PastPl,1,1,False,1,False
170,Central German,PastSg,1,1,False,1,False
170,Upper German,Pres,3,3,False,3,False
171,Upper German,Pres,1,1,False,1,False
172,Central German,PastPl,12,12,False,12,False
172,Central German,PastSg,16,16,False,16,False
172,Central German,Pres,22,21,False,21,False
172,Upper German,PastPl,37,37,False,37,False
172,Upper German,PastSg,100,99,False,99,False
172,Upper German,Pres,144,142,False,142,False
173,Central German,PastSg,1,1,False,1,False
173,Central German,Pres,2,2,False,2,False
173,Upper German,PastPl,1,1,False,1,False
173,Upper German,PastSg,8,8,False,8,False
173,Upper German,Pres,19,18,False,19,False
175,Upper German,PastPl,3,3,False,3,False
175,Upper German,PastSg,11,11,False,11,False
175,Upper German,Pres,5,3,False,3,False
18,Central German,PastPl,8,8,False,8,False
18,Central German,PastSg,82,82,False,82,False
18,Central German,Pres,17,10,False,17,False
18,Upper German,PastPl,35,35,False,35,False
18,Upper German,PastSg,229,229,False,229,False
18,Upper German,Pres,147,75,False,147,False
180,Central German,PastPl,3,2,False,3,False
180,Central German,PastSg,3,3,False,3,False
180,Central German,Pres,7,7,False,4,False
180,Upper German,PastPl,1,1,False,1,False
180,Upper German,PastSg,24,23,False,24,False
180,Upper German,Pres,10,8,False,8,False
181,Central German,PastPl,1,1,False,1,False
181,Central German,PastSg,7,7,False,7,False
181,Upper German,PastPl,1,1,False,1,False
181,Upper German,PastSg,12,12,False,12,False
181,Upper German,Pres,1,1,False,1,False
182,Upper German,PastPl,2,2,False,2,False
182,Upper German,PastSg,8,8,False,8,False
183,Central German,PastSg,1,1,False,1,False
183,Central German,Pres,3,3,False,3,False
183,Upper German,PastPl,2,2,False,2,False
183,Upper German,PastSg,8,7,False,7,False
183,Upper German,Pres,25,25,False,25,False
184,Central German,Pres,5,5,False,5,False
184,Upper German,PastPl,3,3,False,3,False
184,Upper German,PastSg,3,3,False,3,False
184,Upper German,Pres,3,3,False,3,False
185,Central German,PastSg,1,1,False,1,False
185,Central German,Pres,2,2,False,2,False
185,Upper German,PastPl,1,1,False,1,False
185,Upper German,PastSg,5,5,False,5,False
185,Upper German,Pres,5,5,False,5,False
186,Central German,PastSg,1,1,False,1,False
186,Central German,Pres,2,2,False,2,False
186,Upper German,PastSg,9,9,False,9,False
186,Upper German,Pres,1,1,False,1,False
19,Central German,PastPl,38,38,False,38,False
19,Central German,PastSg,68,68,False,68,False
19,Central German,Pres,62,50,False,49,False
19,Upper German,PastPl,132,132,False,132,False
19,Upper German,PastSg,211,210,False,101,False
19,Upper German,Pres,159,159,False,159,False
192,Central German,Pres,2,1,True,2,False
192,Upper German,PastSg,1,1,False,1,False
192,Upper German,Pres,20,19,False,20,False
193,Central German,PastPl,10,10,False,10,False
193,Central German,PastSg,1,1,False,1,False
193,Central German,Pres,8,8,False,8,False
193,Upper German,PastPl,51,51,False,51,False
193,Upper German,PastSg,32,31,False,31,False
193,Upper German,Pres,50,47,False,47,False
194,Central German,PastPl,3,3,False,3,False
194,Central German,PastSg,1,1,False,1,False
194,Central German,Pres,1,1,False,1,False
194,Upper German,PastPl,3,3,False,3,False
194,Upper German,PastSg,4,4,False,4,False
198,Central German,PastPl,2,2,False,2,False
198,Central German,Pres,1,1,False,1,False
198,Upper German,PastPl,4,4,False,4,False
198,Upper German,PastSg,5,5,False,5,False
198,Upper German,Pres,2,2,False,2,False
199,Central German,PastPl,2,2,False,2,False
199,Central German,PastSg,5,5,False,5,False
199,Central German,Pres,2,2,False,2,False
199,Upper German,PastPl,4,4,False,4,False
199,Upper German,PastSg,7,7,False,7,False
199,Upper German,Pres,16,16,False,16,False
2,Central German,PastPl,7,7,False,7,False
2,Central German,PastSg,24,24,False,24,False
2,Central German,Pres,39,25,False,39,False
2,Upper German,PastPl,47,47,False,47,False
2,Upper German,PastSg,44,44,False,44,False
2,Upper German,Pres,165,128,False,165,False
20,Central German,PastPl,20,13,False,20,False
20,Central German,PastSg,16,16,False,16,False
20,Central German,Pres,28,26,False,28,False
20,Upper German,PastPl,58,46,False,58,False
20,Upper German,PastSg,59,59,False,59,False
20,Upper German,Pres,90,80,False,90,False
200,Central German,PastPl,1,1,False,1,False
200,Central German,PastSg,2,2,False,2,False
200,Central German,Pres,1,1,False,1,False
200,Upper German,PastPl,5,5,False,5,False
200,Upper German,PastSg,6,6,False,6,False
200,Upper German,Pres,5,4,False,5,False
201,Upper German,PastPl,1,1,False,1,False
201,Upper German,PastSg,1,1,False,1,False
201,Upper German,Pres,18,18,False,18,False
204,Central German,PastPl,1,1,False,1,False
204,Central German,PastSg,4,4,False,4,False
204,Central German,Pres,1,1,False,1,False
204,Upper German,PastPl,11,11,False,11,False
204,Upper German,PastSg,12,11,False,11,False
204,Upper German,Pres,9,9,False,9,False
21,Central German,PastPl,28,28,False,28,False
21,Central German,PastSg,83,83,False,83,False
21,Central German,Pres,93,71,False,92,False
21,Upper German,PastPl,140,140,False,140,False
21,Upper German,PastSg,213,213,False,212,False
21,Upper German,Pres,377,224,False,315,False
211,Upper German,PastSg,3,3,False,3,False
211,Upper German,Pres,1,1,False,1,False
214,Central German,PastPl,4,4,False,4,False
214,Central German,PastSg,6,6,False,6,False
214,Central German,Pres,8,7,False,8,False
214,Upper German,PastPl,8,8,False,8,False
214,Upper German,PastSg,27,27,False,27,False
214,Upper German,Pres,46,40,False,46,False
215,Central German,PastPl,11,11,False,11,False
215,Central German,PastSg,12,12,False,12,False
215,Central German,Pres,16,14,False,16,False
215,Upper German,PastPl,34,34,False,34,False
215,Upper German,PastSg,30,30,False,30,False
215,Upper German,Pres,65,49,False,65,False
217,Upper German,Pres,1,1,False,1,False
218,Central German,PastPl,1,1,False,1,False
218,Central German,PastSg,1,1,False,1,False
218,Central German,Pres,5,5,False,5,False
218,Upper German,PastPl,3,3,False,3,False
218,Upper German,PastSg,3,3,False,3,False
218,Upper German,Pres,11,11,False,11,False
22,Central German,PastPl,61,61,False,42,False
22,Central German,PastSg,149,149,False,146,False
22,Central German,Pres,86,36,False,44,False
22,Upper German,PastPl,282,281,False,276,False
22,Upper German,PastSg,444,444,False,444,False
22,Upper German,Pres,343,230,False,330,False
220,Central German,PastSg,1,1,False,1,False
220,Central German,Pres,1,1,False,1,False
220,Upper German,PastPl,3,2,False,3,False
220,Upper German,PastSg,3,3,False,3,False
220,Upper German,Pres,13,11,False,13,False
221,Central German,PastPl,2,1,True,2,False
221,Central German,PastSg,1,1,False,1,False
221,Upper German,PastPl,3,2,False,3,False
221,Upper German,PastSg,10,8,False,8,False
221,Upper German,Pres,1,1,False,1,False
223,Central German,PastPl,2,2,False,2,False
223,Central German,PastSg,3,3,False,3,False
223,Central German,Pres,3,3,False,3,False
223,Upper German,PastPl,4,4,False,4,False
223,Upper German,PastSg,5,5,False,5,False
223,Upper German,Pres,22,22,False,22,False
228,Upper German,PastSg,3,3,False,3,False
228,Upper German,Pres,1,1,False,1,False
23,Central German,PastPl,7,7,False,7,False
23,Central German,PastSg,9,9,False,9,False
23,Central German,Pres,6,6,False,6,False
23,Upper German,PastPl,41,41,False,41,False
23,Upper German,PastSg,57,56,False,57,False
23,Upper German,Pres,43,43,False,43,False
231,Central German,PastPl,4,4,False,4,False
